"id"	"transcript_id"	"speaker"	"utterance"	"comment"	"participants"	"age_targetchild"	"age_years_targetchild"	"location"	"date"	"words"	"collection"	"corpus"
2	"2-07-21"	"CHI"	"what-'is Mummy gonna do ?"	"*CHI: what-'is Mummy gonna [: going+to] do ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
3	"2-07-21"	"CHI"	"what-'is Mummy do-ing ?"	"*CHI: what-'is Mummy do-ing ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
4	"2-07-21"	"CHI"	"what-'is Daddy do-ing ?"	"*CHI: what-'is Daddy do-ing ? @Comment: Mum left for work"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
5	"2-07-21"	"CHI"	"what are you eat-ing ? %com: repeat after grandma said pardon"	"*CHI: what are you eat-ing ? %com: repeat after grandma said pardon"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	11	"EngUK"	"Lara_Diary"
6	"2-07-21"	"CHI"	"what you got ?"	"*CHI: what you got ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	3	"EngUK"	"Lara_Diary"
7	"2-07-21"	"CHI"	"what-'is this ?"	"*CHI: what-'is this ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	3	"EngUK"	"Lara_Diary"
8	"2-07-21"	"CHI"	"what-'is that funny noise ?"	"*CHI: what-'is that funny noise ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
9	"2-07-21"	"CHI"	"where-'is mine ?"	"*CHI: where-'is mine ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	3	"EngUK"	"Lara_Diary"
10	"2-07-21"	"CHI"	"what-'is Amy have-ing ?"	"*CHI: what-'is Amy have-ing ?"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
11	"2-07-21"	"CHI"	"what-'is that funny noise ?"	"*CHI: what-'is that funny noise ? @Comment: DAD returns then MOT returns"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
12	"2-07-21"	"CHI"	"where-'is the spindle burned ? %com: reading Sleeping Beauty"	"*CHI: where-'is the spindle burned ? %com: reading Sleeping Beauty"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	9	"EngUK"	"Lara_Diary"
13	"2-07-21"	"CHI"	"where-'is the finger pricked ?"	"*CHI: where-'is the finger pricked ? @End"	" CHI Lara Target_Child "	"2;7.21"	"2"	""	" 06-JAN-1997 "	5	"EngUK"	"Lara_Diary"
15	"2-07-22"	"CHI"	"what is that spot called ?"	"*CHI: what is that spot called ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
16	"2-07-22"	"CHI"	"what is that spot called ?"	"*CHI: what is that spot called ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
17	"2-07-22"	"CHI"	"what is that spot called ?"	"*CHI: what is that spot called ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
18	"2-07-22"	"CHI"	"what is that spot called ?"	"*CHI: what is that spot called ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
19	"2-07-22"	"CHI"	"what is this spot called ?"	"*CHI: what is this spot called ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
20	"2-07-22"	"CHI"	"what is this spot called ? %com: points to features on Mum's face"	"*CHI: what is this spot called ? %com: points to features on Mum's face"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	13	"EngUK"	"Lara_Diary"
21	"2-07-22"	"CHI"	"who-'is downstairs ?"	"*CHI: who-'is downstairs ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	3	"EngUK"	"Lara_Diary"
22	"2-07-22"	"CHI"	"what they do-ing ? %com: ref TV"	"*CHI: what they do-ing ? %com: ref TV"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	7	"EngUK"	"Lara_Diary"
23	"2-07-22"	"CHI"	"who-'is downstairs ?"	"*CHI: who-'is downstairs ? @Comment: Mum goes to work"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	3	"EngUK"	"Lara_Diary"
24	"2-07-22"	"CHI"	"where-'has Mummy gone ?"	"*CHI: where-'has Mummy gone ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	4	"EngUK"	"Lara_Diary"
25	"2-07-22"	"CHI"	"where-'is the little dog ?"	"*CHI: where-'is the little dog ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
26	"2-07-22"	"CHI"	"where-'is the little dog ?"	"*CHI: where-'is the little dog ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
27	"2-07-22"	"CHI"	"where-'is the little dog ?"	"*CHI: where-'is the little dog ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
28	"2-07-22"	"CHI"	"where-'is the little doggie ?"	"*CHI: where-'is the little doggie ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
29	"2-07-22"	"CHI"	"what he gonna do ?"	"*CHI: what he gonna [: going+to] do ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	4	"EngUK"	"Lara_Diary"
30	"2-07-22"	"CHI"	"where-'is the poorly horsie ?"	"*CHI: where-'is the poorly horsie ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
31	"2-07-22"	"CHI"	"where-'is the poorly horsie ?"	"*CHI: where-'is the poorly horsie ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
32	"2-07-22"	"CHI"	"where-'is the poorly horsie ?"	"*CHI: where-'is the poorly horsie ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
33	"2-07-22"	"CHI"	"where-'has the poorly horsie gone ? %com: watching Lassie"	"*CHI: where-'has the poorly horsie gone ? %com: watching Lassie"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	9	"EngUK"	"Lara_Diary"
34	"2-07-22"	"CHI"	"where the horsie ?"	"*CHI: where the horsie ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	3	"EngUK"	"Lara_Diary"
35	"2-07-22"	"CHI"	"what are they do-ing ?"	"*CHI: what are they do-ing ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	5	"EngUK"	"Lara_Diary"
36	"2-07-22"	"CHI"	"where-'has marmalade gone ?"	"*CHI: where-'has marmalade gone ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	4	"EngUK"	"Lara_Diary"
37	"2-07-22"	"CHI"	"what you got ?"	"*CHI: what you got ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	3	"EngUK"	"Lara_Diary"
38	"2-07-22"	"CHI"	"what-'does Grandad have in the bag ?"	"*CHI: what-'does [=? is] Grandad have in the bag ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	7	"EngUK"	"Lara_Diary"
39	"2-07-22"	"CHI"	"where-'is the Xmas tree go-ing ?"	"*CHI: where-'is the Xmas tree go-ing ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	7	"EngUK"	"Lara_Diary"
40	"2-07-22"	"CHI"	"where-'is the big Xmas tree ?"	"*CHI: where-'is the big Xmas tree ?"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	6	"EngUK"	"Lara_Diary"
41	"2-07-22"	"CHI"	"what-'is the matter ? %com: Mum says this to Amy sometimes"	"*CHI: what-'is the matter ? %com: Mum says this to Amy sometimes"	" CHI Lara Target_Child "	"2;7.22"	"2"	""	" 07-JAN-1997 "	11	"EngUK"	"Lara_Diary"
