"id"	"transcript_id"	"speaker"	"utterance"	"comment"	"participants"	"age_targetchild"	"age_years_targetchild"	"location"	"date"	"words"	"collection"	"corpus"
2	"AJC1"	"INV"	"so you know it should be fine . 0"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	8	"EngUK"	"Tommerdahl"
3	"AJC1"	"ADU"	"i could leave him in here and go away for an hour or two ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	14	"EngUK"	"Tommerdahl"
4	"AJC1"	"INV"	"no , no , no , no , we want you to talk to him ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	11	"EngUK"	"Tommerdahl"
5	"AJC1"	"INV"	"=laughs ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
6	"AJC1"	"INV"	"and that's fine , you know it doesn't matter if he tips something out ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	15	"EngUK"	"Tommerdahl"
7	"AJC1"	"ADU"	"is it alright if I take his power rangers out as well ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	12	"EngUK"	"Tommerdahl"
8	"AJC1"	"INV"	"yes that's fine that's fine yeah ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	8	"EngUK"	"Tommerdahl"
9	"AJC1"	"INV"	"ok then already guys ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	4	"EngUK"	"Tommerdahl"
10	"AJC1"	"CHI"	"mommy ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
11	"AJC1"	"ADU"	"yeah ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
12	"AJC1"	"INV"	"ok well we're all set ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	6	"EngUK"	"Tommerdahl"
13	"AJC1"	"ADU"	"ok let's get these shoes off ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	7	"EngUK"	"Tommerdahl"
14	"AJC1"	"CHI"	"=vocalizes ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
15	"AJC1"	"ADU"	"do you want to take your shoes off in here ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	10	"EngUK"	"Tommerdahl"
16	"AJC1"	"CHI"	"no ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
17	"AJC1"	"ADU"	"yeah ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
18	"AJC1"	"CHI"	"no ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
19	"AJC1"	"ADU"	"no you want to keep your shoes on ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	8	"EngUK"	"Tommerdahl"
20	"AJC1"	"CHI"	"yeah ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
21	"AJC1"	"ADU"	"or take them off ?"	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	4	"EngUK"	"Tommerdahl"
22	"AJC1"	"CHI"	"take them off ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	3	"EngUK"	"Tommerdahl"
23	"AJC1"	"ADU"	"take , ooh there's one ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	5	"EngUK"	"Tommerdahl"
24	"AJC1"	"CHI"	"I can take them off ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	5	"EngUK"	"Tommerdahl"
25	"AJC1"	"ADU"	"well done ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	2	"EngUK"	"Tommerdahl"
26	"AJC1"	"ADU"	"ok we'll leave them over here ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	7	"EngUK"	"Tommerdahl"
27	"AJC1"	"CHI"	"yeah ."	""	" CHI Target_Child , ADU Adult , INV Investigator "	"3;2.7"	"3"	""	""	1	"EngUK"	"Tommerdahl"
